date,store_number,store_name,city,county,sales
2022-01-30,2549,Hy-Vee Food Store / Indianola,Indianola,WARREN,11531.85
2022-02-06,2549,Hy-Vee Food Store / Indianola,Indianola,WARREN,21219.92
2022-01-09,2285,John's Grocery,Iowa City,JOHNSON,7376.0
2022-01-16,2285,John's Grocery,Iowa City,JOHNSON,9715.13
2022-01-23,2285,John's Grocery,Iowa City,JOHNSON,11904.63
2022-01-30,2285,John's Grocery,Iowa City,JOHNSON,12983.75
2022-02-06,2285,John's Grocery,Iowa City,JOHNSON,13659.99
2022-01-09,2622,Hy-Vee Food Store / Iowa City,Iowa City,JOHNSON,13686.06
2022-01-16,2622,Hy-Vee Food Store / Iowa City,Iowa City,JOHNSON,17300.4
2022-01-23,2622,Hy-Vee Food Store / Iowa City,Iowa City,JOHNSON,12346.9
2022-01-30,2622,Hy-Vee Food Store / Iowa City,Iowa City,JOHNSON,15891.95
2022-02-06,2622,Hy-Vee Food Store / Iowa City,Iowa City,JOHNSON,11619.83
2022-01-09,2513,Hy-Vee Food Store #2 / Iowa City,Iowa City,JOHNSON,8907.6
2022-01-16,2513,Hy-Vee Food Store #2 / Iowa City,Iowa City,JOHNSON,11437.89
2022-01-23,2513,Hy-Vee Food Store #2 / Iowa City,Iowa City,JOHNSON,10833.26
2022-01-30,2513,Hy-Vee Food Store #2 / Iowa City,Iowa City,JOHNSON,12802.32
2022-02-06,2513,Hy-Vee Food Store #2 / Iowa City,Iowa City,JOHNSON,14930.51
2022-01-09,2512,Hy-Vee Wine and Spirits / Iowa City,Iowa City,JOHNSON,104614.05
2022-01-16,2512,Hy-Vee Wine and Spirits / Iowa City,Iowa City,JOHNSON,75827.13
2022-01-23,2512,Hy-Vee Wine and Spirits / Iowa City,Iowa City,JOHNSON,94094.41
2022-01-30,2512,Hy-Vee Wine and Spirits / Iowa City,Iowa City,JOHNSON,92126.35
2022-02-06,2512,Hy-Vee Wine and Spirits / Iowa City,Iowa City,JOHNSON,100193.76
2022-01-09,2573,Hy-Vee Food Store / Muscatine,Muscatine,MUSCATINE,19440.24
2022-01-16,2573,Hy-Vee Food Store / Muscatine,Muscatine,MUSCATINE,18214.14
2022-01-23,2573,Hy-Vee Food Store / Muscatine,Muscatine,MUSCATINE,21241.33
2022-01-30,2573,Hy-Vee Food Store / Muscatine,Muscatine,MUSCATINE,22907.61
2022-02-06,2573,Hy-Vee Food Store / Muscatine,Muscatine,MUSCATINE,23410.34
2022-01-09,2662,Hy-Vee Wine & Spirits / Muscatine,Muscatine,MUSCATINE,10576.93
2022-01-16,2662,Hy-Vee Wine & Spirits / Muscatine,Muscatine,MUSCATINE,17036.84
2022-01-23,2662,Hy-Vee Wine & Spirits / Muscatine,Muscatine,MUSCATINE,9756.24
